"ABX"	"ABX_CLASS"	"variable"	"value"	"SIR"
"360"	"Ceftazidime"	"ß-lactam"	"NDSU20"	1	"R"
"361"	"Ceftiofur"	"ß-lactam"	"NDSU20"	1	"R"
"362"	"Chloramphenicol"	"Phenicol"	"NDSU20"	1	"R"
"363"	"Clarithromycin"	"Macrolide"	"NDSU20"	5	"No interpretation"
"364"	"Doxycycline"	"Tetracycline"	"NDSU20"	1	"R"
"365"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU20"	5	"No interpretation"
"366"	"Imipenem"	"ß-lactam"	"NDSU20"	-1	"S"
"367"	"Tetracycline"	"Tetracycline"	"NDSU20"	1	"R"
"368"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU20"	-1	"S"
"369"	"Amikacin"	"Aminoglycoside"	"NDSU20"	-1	"S"
"370"	"Cefazolin"	"ß-lactam"	"NDSU20"	1	"R"
"371"	"Clarithromycin"	"Macrolide"	"NDSU20"	1	"R"
"372"	"Erythromycin"	"Macrolide"	"NDSU20"	1	"R"
"373"	"Gentamicin"	"Aminoglycoside"	"NDSU20"	-1	"S"
"374"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU20"	1	"R"
"375"	"Penicillin"	"ß-lactam"	"NDSU20"	5	"No interpretation"
"376"	"Rifampin"	"Rifampin"	"NDSU20"	1	"R"
"377"	"Ticarcillin"	"ß-lactam"	"NDSU20"	-1	"S"
"378"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU20"	-1	"S"
"379"	"Ampicillin"	"ß-lactam"	"NDSU21"	1	"R"
"380"	"Azithromycin"	"Macrolide"	"NDSU21"	1	"R"
"381"	"Ceftazidime"	"ß-lactam"	"NDSU21"	1	"R"
"382"	"Ceftiofur"	"ß-lactam"	"NDSU21"	1	"R"
"383"	"Chloramphenicol"	"Phenicol"	"NDSU21"	1	"R"
"384"	"Clarithromycin"	"Macrolide"	"NDSU21"	5	"No interpretation"
"385"	"Doxycycline"	"Tetracycline"	"NDSU21"	1	"R"
"386"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU21"	5	"No interpretation"
"387"	"Imipenem"	"ß-lactam"	"NDSU21"	-1	"S"
"388"	"Tetracycline"	"Tetracycline"	"NDSU21"	1	"R"
"389"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU21"	-1	"S"
"390"	"Amikacin"	"Aminoglycoside"	"NDSU21"	-1	"S"
"391"	"Cefazolin"	"ß-lactam"	"NDSU21"	1	"R"
"392"	"Clarithromycin"	"Macrolide"	"NDSU21"	1	"R"
"393"	"Erythromycin"	"Macrolide"	"NDSU21"	1	"R"
"394"	"Gentamicin"	"Aminoglycoside"	"NDSU21"	-1	"S"
"395"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU21"	1	"R"
"396"	"Penicillin"	"ß-lactam"	"NDSU21"	5	"No interpretation"
"397"	"Rifampin"	"Rifampin"	"NDSU21"	1	"R"
"398"	"Ticarcillin"	"ß-lactam"	"NDSU21"	0	"I"
"399"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU21"	0	"I"
"400"	"Ampicillin"	"ß-lactam"	"NDSU22"	1	"R"
"401"	"Azithromycin"	"Macrolide"	"NDSU22"	-1	"S"
"402"	"Ceftazidime"	"ß-lactam"	"NDSU22"	1	"R"
"403"	"Ceftiofur"	"ß-lactam"	"NDSU22"	1	"R"
"404"	"Chloramphenicol"	"Phenicol"	"NDSU22"	1	"R"
"405"	"Clarithromycin"	"Macrolide"	"NDSU22"	5	"No interpretation"
"406"	"Doxycycline"	"Tetracycline"	"NDSU22"	1	"R"
"407"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU22"	5	"No interpretation"
"408"	"Imipenem"	"ß-lactam"	"NDSU22"	-1	"S"
"409"	"Tetracycline"	"Tetracycline"	"NDSU22"	1	"R"
"410"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU22"	1	"R"
"411"	"Amikacin"	"Aminoglycoside"	"NDSU22"	-1	"S"
"412"	"Cefazolin"	"ß-lactam"	"NDSU22"	1	"R"
"413"	"Clarithromycin"	"Macrolide"	"NDSU22"	1	"R"
"414"	"Erythromycin"	"Macrolide"	"NDSU22"	1	"R"
"415"	"Gentamicin"	"Aminoglycoside"	"NDSU22"	-1	"S"
"416"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU22"	1	"R"
"417"	"Penicillin"	"ß-lactam"	"NDSU22"	5	"No interpretation"
"418"	"Rifampin"	"Rifampin"	"NDSU22"	1	"R"
"419"	"Ticarcillin"	"ß-lactam"	"NDSU22"	0	"I"
"420"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU22"	0	"I"
"421"	"Ampicillin"	"ß-lactam"	"NDSU24"	-1	"S"
"422"	"Azithromycin"	"Macrolide"	"NDSU24"	-1	"S"
"423"	"Ceftazidime"	"ß-lactam"	"NDSU24"	-1	"S"
"424"	"Ceftiofur"	"ß-lactam"	"NDSU24"	-1	"S"
"425"	"Chloramphenicol"	"Phenicol"	"NDSU24"	1	"R"
"426"	"Clarithromycin"	"Macrolide"	"NDSU24"	5	"No interpretation"
"427"	"Doxycycline"	"Tetracycline"	"NDSU24"	1	"R"
"428"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU24"	5	"No interpretation"
"429"	"Imipenem"	"ß-lactam"	"NDSU24"	-1	"S"
"430"	"Tetracycline"	"Tetracycline"	"NDSU24"	1	"R"
"431"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU24"	1	"R"
"432"	"Amikacin"	"Aminoglycoside"	"NDSU24"	-1	"S"
"433"	"Cefazolin"	"ß-lactam"	"NDSU24"	-1	"S"
"434"	"Clarithromycin"	"Macrolide"	"NDSU24"	1	"R"
"435"	"Erythromycin"	"Macrolide"	"NDSU24"	1	"R"
"436"	"Gentamicin"	"Aminoglycoside"	"NDSU24"	-1	"S"
"437"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU24"	1	"R"
"438"	"Penicillin"	"ß-lactam"	"NDSU24"	5	"No interpretation"
"439"	"Rifampin"	"Rifampin"	"NDSU24"	1	"R"
"440"	"Ticarcillin"	"ß-lactam"	"NDSU24"	-1	"S"
"441"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU24"	-1	"S"
"442"	"Ampicillin"	"ß-lactam"	"NDSU25"	1	"R"
"443"	"Azithromycin"	"Macrolide"	"NDSU25"	1	"R"
"444"	"Ceftazidime"	"ß-lactam"	"NDSU25"	1	"R"
"445"	"Ceftiofur"	"ß-lactam"	"NDSU25"	1	"R"
"446"	"Chloramphenicol"	"Phenicol"	"NDSU25"	1	"R"
"447"	"Clarithromycin"	"Macrolide"	"NDSU25"	5	"No interpretation"
"448"	"Doxycycline"	"Tetracycline"	"NDSU25"	1	"R"
"449"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU25"	5	"No interpretation"
"450"	"Imipenem"	"ß-lactam"	"NDSU25"	-1	"S"
"451"	"Tetracycline"	"Tetracycline"	"NDSU25"	1	"R"
"452"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU25"	1	"R"
"453"	"Amikacin"	"Aminoglycoside"	"NDSU25"	-1	"S"
"454"	"Cefazolin"	"ß-lactam"	"NDSU25"	1	"R"
"455"	"Clarithromycin"	"Macrolide"	"NDSU25"	1	"R"
"456"	"Erythromycin"	"Macrolide"	"NDSU25"	1	"R"
"457"	"Gentamicin"	"Aminoglycoside"	"NDSU25"	-1	"S"
"458"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU25"	1	"R"
"459"	"Penicillin"	"ß-lactam"	"NDSU25"	5	"No interpretation"
"460"	"Rifampin"	"Rifampin"	"NDSU25"	1	"R"
"461"	"Ticarcillin"	"ß-lactam"	"NDSU25"	0	"I"
"462"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU25"	0	"I"
"463"	"Ampicillin"	"ß-lactam"	"NDSU26"	1	"R"
"464"	"Azithromycin"	"Macrolide"	"NDSU26"	-1	"S"
"465"	"Ceftazidime"	"ß-lactam"	"NDSU26"	0	"I"
"466"	"Ceftiofur"	"ß-lactam"	"NDSU26"	1	"R"
"467"	"Chloramphenicol"	"Phenicol"	"NDSU26"	1	"R"
"468"	"Clarithromycin"	"Macrolide"	"NDSU26"	5	"No interpretation"
"469"	"Doxycycline"	"Tetracycline"	"NDSU26"	1	"R"
"470"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU26"	5	"No interpretation"
"471"	"Imipenem"	"ß-lactam"	"NDSU26"	-1	"S"
"472"	"Tetracycline"	"Tetracycline"	"NDSU26"	1	"R"
"473"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU26"	-1	"S"
"474"	"Amikacin"	"Aminoglycoside"	"NDSU26"	-1	"S"
"475"	"Cefazolin"	"ß-lactam"	"NDSU26"	1	"R"
"476"	"Clarithromycin"	"Macrolide"	"NDSU26"	1	"R"
"477"	"Erythromycin"	"Macrolide"	"NDSU26"	1	"R"
"478"	"Gentamicin"	"Aminoglycoside"	"NDSU26"	-1	"S"
"479"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU26"	1	"R"
"480"	"Penicillin"	"ß-lactam"	"NDSU26"	5	"No interpretation"
"481"	"Rifampin"	"Rifampin"	"NDSU26"	1	"R"
"482"	"Ticarcillin"	"ß-lactam"	"NDSU26"	0	"I"
"483"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU26"	-1	"S"
"484"	"Ampicillin"	"ß-lactam"	"NDSU28"	1	"R"
"485"	"Azithromycin"	"Macrolide"	"NDSU28"	1	"R"
"486"	"Ceftazidime"	"ß-lactam"	"NDSU28"	0	"I"
"487"	"Ceftiofur"	"ß-lactam"	"NDSU28"	1	"R"
"488"	"Chloramphenicol"	"Phenicol"	"NDSU28"	1	"R"
"489"	"Clarithromycin"	"Macrolide"	"NDSU28"	5	"No interpretation"
"490"	"Doxycycline"	"Tetracycline"	"NDSU28"	0	"I"
"491"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU28"	5	"No interpretation"
"492"	"Imipenem"	"ß-lactam"	"NDSU28"	-1	"S"
"493"	"Tetracycline"	"Tetracycline"	"NDSU28"	1	"R"
"494"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU28"	-1	"S"
"495"	"Amikacin"	"Aminoglycoside"	"NDSU28"	-1	"S"
"496"	"Cefazolin"	"ß-lactam"	"NDSU28"	1	"R"
"497"	"Clarithromycin"	"Macrolide"	"NDSU28"	1	"R"
"498"	"Erythromycin"	"Macrolide"	"NDSU28"	1	"R"
"499"	"Gentamicin"	"Aminoglycoside"	"NDSU28"	-1	"S"
"500"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU28"	1	"R"
"501"	"Penicillin"	"ß-lactam"	"NDSU28"	5	"No interpretation"
"502"	"Rifampin"	"Rifampin"	"NDSU28"	1	"R"
"503"	"Ticarcillin"	"ß-lactam"	"NDSU28"	-1	"S"
"504"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU28"	-1	"S"
"505"	"Ampicillin"	"ß-lactam"	"NDSU29"	1	"R"
"506"	"Azithromycin"	"Macrolide"	"NDSU29"	1	"R"
"507"	"Ceftazidime"	"ß-lactam"	"NDSU29"	1	"R"
"508"	"Ceftiofur"	"ß-lactam"	"NDSU29"	1	"R"
"509"	"Chloramphenicol"	"Phenicol"	"NDSU29"	1	"R"
"510"	"Clarithromycin"	"Macrolide"	"NDSU29"	5	"No interpretation"
"511"	"Doxycycline"	"Tetracycline"	"NDSU29"	1	"R"
"512"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU29"	5	"No interpretation"
"513"	"Imipenem"	"ß-lactam"	"NDSU29"	-1	"S"
"514"	"Tetracycline"	"Tetracycline"	"NDSU29"	1	"R"
"515"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU29"	-1	"S"
"516"	"Amikacin"	"Aminoglycoside"	"NDSU29"	-1	"S"
"517"	"Cefazolin"	"ß-lactam"	"NDSU29"	1	"R"
"518"	"Clarithromycin"	"Macrolide"	"NDSU29"	1	"R"
"519"	"Erythromycin"	"Macrolide"	"NDSU29"	1	"R"
"520"	"Gentamicin"	"Aminoglycoside"	"NDSU29"	-1	"S"
"521"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU29"	1	"R"
"522"	"Penicillin"	"ß-lactam"	"NDSU29"	5	"No interpretation"
"523"	"Rifampin"	"Rifampin"	"NDSU29"	1	"R"
"524"	"Ticarcillin"	"ß-lactam"	"NDSU29"	1	"R"
"525"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU29"	1	"R"
"526"	"Ampicillin"	"ß-lactam"	"NDSU30"	1	"R"
"527"	"Azithromycin"	"Macrolide"	"NDSU30"	1	"R"
"528"	"Ceftazidime"	"ß-lactam"	"NDSU30"	1	"R"
"529"	"Ceftiofur"	"ß-lactam"	"NDSU30"	1	"R"
"530"	"Chloramphenicol"	"Phenicol"	"NDSU30"	1	"R"
"531"	"Clarithromycin"	"Macrolide"	"NDSU30"	5	"No interpretation"
"532"	"Doxycycline"	"Tetracycline"	"NDSU30"	1	"R"
"533"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU30"	5	"No interpretation"
"534"	"Imipenem"	"ß-lactam"	"NDSU30"	-1	"S"
"535"	"Tetracycline"	"Tetracycline"	"NDSU30"	1	"R"
"536"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU30"	-1	"S"
"537"	"Amikacin"	"Aminoglycoside"	"NDSU30"	-1	"S"
"538"	"Cefazolin"	"ß-lactam"	"NDSU30"	1	"R"
"539"	"Clarithromycin"	"Macrolide"	"NDSU30"	1	"R"
"540"	"Erythromycin"	"Macrolide"	"NDSU30"	1	"R"
"541"	"Gentamicin"	"Aminoglycoside"	"NDSU30"	-1	"S"
"542"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU30"	1	"R"
"543"	"Penicillin"	"ß-lactam"	"NDSU30"	5	"No interpretation"
"544"	"Rifampin"	"Rifampin"	"NDSU30"	1	"R"
"545"	"Ticarcillin"	"ß-lactam"	"NDSU30"	0	"I"
"546"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU30"	0	"I"
"547"	"Ampicillin"	"ß-lactam"	"ARS1"	-1	"S"
"548"	"Azithromycin"	"Macrolide"	"ARS1"	1	"R"
"549"	"Ceftazidime"	"ß-lactam"	"ARS1"	-1	"S"
"550"	"Ceftiofur"	"ß-lactam"	"ARS1"	-1	"S"
"551"	"Chloramphenicol"	"Phenicol"	"ARS1"	-1	"S"
"552"	"Clarithromycin"	"Macrolide"	"ARS1"	5	"No interpretation"
"553"	"Doxycycline"	"Tetracycline"	"ARS1"	-1	"S"
"554"	"Enrofloxacin"	"Fluoroquinolone"	"ARS1"	5	"No interpretation"
"555"	"Imipenem"	"ß-lactam"	"ARS1"	-1	"S"
"556"	"Tetracycline"	"Tetracycline"	"ARS1"	-1	"S"
"557"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS1"	-1	"S"
"558"	"Amikacin"	"Aminoglycoside"	"ARS1"	-1	"S"
"559"	"Cefazolin"	"ß-lactam"	"ARS1"	-1	"S"
"560"	"Clarithromycin"	"Macrolide"	"ARS1"	1	"R"
"561"	"Erythromycin"	"Macrolide"	"ARS1"	1	"R"
"562"	"Gentamicin"	"Aminoglycoside"	"ARS1"	-1	"S"
"563"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS1"	1	"R"
"564"	"Penicillin"	"ß-lactam"	"ARS1"	5	"No interpretation"
"565"	"Rifampin"	"Rifampin"	"ARS1"	1	"R"
"566"	"Ticarcillin"	"ß-lactam"	"ARS1"	-1	"S"
"567"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS1"	-1	"S"
"568"	"Ampicillin"	"ß-lactam"	"ARS2"	-1	"S"
"569"	"Azithromycin"	"Macrolide"	"ARS2"	-1	"S"
"570"	"Ceftazidime"	"ß-lactam"	"ARS2"	-1	"S"
"571"	"Ceftiofur"	"ß-lactam"	"ARS2"	-1	"S"
"572"	"Chloramphenicol"	"Phenicol"	"ARS2"	-1	"S"
"573"	"Clarithromycin"	"Macrolide"	"ARS2"	5	"No interpretation"
"574"	"Doxycycline"	"Tetracycline"	"ARS2"	-1	"S"
"575"	"Enrofloxacin"	"Fluoroquinolone"	"ARS2"	5	"No interpretation"
"576"	"Imipenem"	"ß-lactam"	"ARS2"	-1	"S"
"577"	"Tetracycline"	"Tetracycline"	"ARS2"	-1	"S"
"578"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS2"	-1	"S"
"579"	"Amikacin"	"Aminoglycoside"	"ARS2"	-1	"S"
"580"	"Cefazolin"	"ß-lactam"	"ARS2"	-1	"S"
"581"	"Clarithromycin"	"Macrolide"	"ARS2"	1	"R"
"582"	"Erythromycin"	"Macrolide"	"ARS2"	1	"R"
"583"	"Gentamicin"	"Aminoglycoside"	"ARS2"	-1	"S"
"584"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS2"	1	"R"
"585"	"Penicillin"	"ß-lactam"	"ARS2"	5	"No interpretation"
"586"	"Rifampin"	"Rifampin"	"ARS2"	1	"R"
"587"	"Ticarcillin"	"ß-lactam"	"ARS2"	-1	"S"
"588"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS2"	-1	"S"
"589"	"Ampicillin"	"ß-lactam"	"ARS3"	1	"R"
"590"	"Azithromycin"	"Macrolide"	"ARS3"	1	"R"
"591"	"Ceftazidime"	"ß-lactam"	"ARS3"	1	"R"
"592"	"Ceftiofur"	"ß-lactam"	"ARS3"	1	"R"
"593"	"Chloramphenicol"	"Phenicol"	"ARS3"	1	"R"
"594"	"Clarithromycin"	"Macrolide"	"ARS3"	5	"No interpretation"
"595"	"Doxycycline"	"Tetracycline"	"ARS3"	0	"I"
"596"	"Enrofloxacin"	"Fluoroquinolone"	"ARS3"	5	"No interpretation"
"597"	"Imipenem"	"ß-lactam"	"ARS3"	-1	"S"
"598"	"Tetracycline"	"Tetracycline"	"ARS3"	1	"R"
"599"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS3"	-1	"S"
"600"	"Amikacin"	"Aminoglycoside"	"ARS3"	-1	"S"
"601"	"Cefazolin"	"ß-lactam"	"ARS3"	1	"R"
"602"	"Clarithromycin"	"Macrolide"	"ARS3"	1	"R"
"603"	"Erythromycin"	"Macrolide"	"ARS3"	1	"R"
"604"	"Gentamicin"	"Aminoglycoside"	"ARS3"	-1	"S"
"605"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS3"	1	"R"
"606"	"Penicillin"	"ß-lactam"	"ARS3"	5	"No interpretation"
"607"	"Rifampin"	"Rifampin"	"ARS3"	1	"R"
"608"	"Ticarcillin"	"ß-lactam"	"ARS3"	0	"I"
"609"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS3"	0	"I"
"610"	"Ampicillin"	"ß-lactam"	"ARS4"	1	"R"
"611"	"Azithromycin"	"Macrolide"	"ARS4"	1	"R"
"612"	"Ceftazidime"	"ß-lactam"	"ARS4"	0	"I"
"613"	"Ceftiofur"	"ß-lactam"	"ARS4"	1	"R"
"614"	"Chloramphenicol"	"Phenicol"	"ARS4"	1	"R"
"615"	"Clarithromycin"	"Macrolide"	"ARS4"	5	"No interpretation"
"616"	"Doxycycline"	"Tetracycline"	"ARS4"	1	"R"
"617"	"Enrofloxacin"	"Fluoroquinolone"	"ARS4"	5	"No interpretation"
"618"	"Imipenem"	"ß-lactam"	"ARS4"	-1	"S"
"619"	"Tetracycline"	"Tetracycline"	"ARS4"	1	"R"
"620"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS4"	-1	"S"
"621"	"Amikacin"	"Aminoglycoside"	"ARS4"	-1	"S"
"622"	"Cefazolin"	"ß-lactam"	"ARS4"	1	"R"
"623"	"Clarithromycin"	"Macrolide"	"ARS4"	1	"R"
"624"	"Erythromycin"	"Macrolide"	"ARS4"	1	"R"
"625"	"Gentamicin"	"Aminoglycoside"	"ARS4"	-1	"S"
"626"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS4"	1	"R"
"627"	"Penicillin"	"ß-lactam"	"ARS4"	5	"No interpretation"
"628"	"Rifampin"	"Rifampin"	"ARS4"	1	"R"
"629"	"Ticarcillin"	"ß-lactam"	"ARS4"	-1	"S"
"630"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS4"	-1	"S"
"631"	"Ampicillin"	"ß-lactam"	"ARS5"	1	"R"
"632"	"Azithromycin"	"Macrolide"	"ARS5"	1	"R"
"633"	"Ceftazidime"	"ß-lactam"	"ARS5"	0	"I"
"634"	"Ceftiofur"	"ß-lactam"	"ARS5"	1	"R"
"635"	"Chloramphenicol"	"Phenicol"	"ARS5"	1	"R"
"636"	"Clarithromycin"	"Macrolide"	"ARS5"	5	"No interpretation"
"637"	"Doxycycline"	"Tetracycline"	"ARS5"	0	"I"
"638"	"Enrofloxacin"	"Fluoroquinolone"	"ARS5"	5	"No interpretation"
"639"	"Imipenem"	"ß-lactam"	"ARS5"	-1	"S"
"640"	"Tetracycline"	"Tetracycline"	"ARS5"	1	"R"
"641"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS5"	-1	"S"
"642"	"Amikacin"	"Aminoglycoside"	"ARS5"	-1	"S"
"643"	"Cefazolin"	"ß-lactam"	"ARS5"	1	"R"
"644"	"Clarithromycin"	"Macrolide"	"ARS5"	1	"R"
"645"	"Erythromycin"	"Macrolide"	"ARS5"	1	"R"
"646"	"Gentamicin"	"Aminoglycoside"	"ARS5"	-1	"S"
"647"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS5"	1	"R"
"648"	"Penicillin"	"ß-lactam"	"ARS5"	5	"No interpretation"
"649"	"Rifampin"	"Rifampin"	"ARS5"	1	"R"
"650"	"Ticarcillin"	"ß-lactam"	"ARS5"	-1	"S"
"651"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS5"	-1	"S"
"652"	"Ampicillin"	"ß-lactam"	"ARS6"	-1	"S"
"653"	"Azithromycin"	"Macrolide"	"ARS6"	-1	"S"
"654"	"Ceftazidime"	"ß-lactam"	"ARS6"	-1	"S"
"655"	"Ceftiofur"	"ß-lactam"	"ARS6"	-1	"S"
"656"	"Chloramphenicol"	"Phenicol"	"ARS6"	-1	"S"
"657"	"Clarithromycin"	"Macrolide"	"ARS6"	5	"No interpretation"
"658"	"Doxycycline"	"Tetracycline"	"ARS6"	-1	"S"
"659"	"Enrofloxacin"	"Fluoroquinolone"	"ARS6"	5	"No interpretation"
"660"	"Imipenem"	"ß-lactam"	"ARS6"	-1	"S"
"661"	"Tetracycline"	"Tetracycline"	"ARS6"	-1	"S"
"662"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS6"	-1	"S"
"663"	"Amikacin"	"Aminoglycoside"	"ARS6"	-1	"S"
"664"	"Cefazolin"	"ß-lactam"	"ARS6"	-1	"S"
"665"	"Clarithromycin"	"Macrolide"	"ARS6"	1	"R"
"666"	"Erythromycin"	"Macrolide"	"ARS6"	1	"R"
"667"	"Gentamicin"	"Aminoglycoside"	"ARS6"	-1	"S"
"668"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS6"	1	"R"
"669"	"Penicillin"	"ß-lactam"	"ARS6"	5	"No interpretation"
"670"	"Rifampin"	"Rifampin"	"ARS6"	1	"R"
"671"	"Ticarcillin"	"ß-lactam"	"ARS6"	-1	"S"
"672"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS6"	-1	"S"
"673"	"Ampicillin"	"ß-lactam"	"ARS7"	1	"R"
"674"	"Azithromycin"	"Macrolide"	"ARS7"	1	"R"
"675"	"Ceftazidime"	"ß-lactam"	"ARS7"	1	"R"
"676"	"Ceftiofur"	"ß-lactam"	"ARS7"	1	"R"
"677"	"Chloramphenicol"	"Phenicol"	"ARS7"	1	"R"
"678"	"Clarithromycin"	"Macrolide"	"ARS7"	5	"No interpretation"
"679"	"Doxycycline"	"Tetracycline"	"ARS7"	1	"R"
"680"	"Enrofloxacin"	"Fluoroquinolone"	"ARS7"	5	"No interpretation"
"681"	"Imipenem"	"ß-lactam"	"ARS7"	-1	"S"
"682"	"Tetracycline"	"Tetracycline"	"ARS7"	1	"R"
"683"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS7"	-1	"S"
"684"	"Amikacin"	"Aminoglycoside"	"ARS7"	-1	"S"
"685"	"Cefazolin"	"ß-lactam"	"ARS7"	1	"R"
"686"	"Clarithromycin"	"Macrolide"	"ARS7"	1	"R"
"687"	"Erythromycin"	"Macrolide"	"ARS7"	1	"R"
"688"	"Gentamicin"	"Aminoglycoside"	"ARS7"	-1	"S"
"689"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS7"	1	"R"
"690"	"Penicillin"	"ß-lactam"	"ARS7"	5	"No interpretation"
"691"	"Rifampin"	"Rifampin"	"ARS7"	1	"R"
"692"	"Ticarcillin"	"ß-lactam"	"ARS7"	0	"I"
"693"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS7"	0	"I"
"694"	"Ampicillin"	"ß-lactam"	"ARS8"	-1	"S"
"695"	"Azithromycin"	"Macrolide"	"ARS8"	-1	"S"
"696"	"Ceftazidime"	"ß-lactam"	"ARS8"	-1	"S"
"697"	"Ceftiofur"	"ß-lactam"	"ARS8"	-1	"S"
"698"	"Chloramphenicol"	"Phenicol"	"ARS8"	-1	"S"
"699"	"Clarithromycin"	"Macrolide"	"ARS8"	5	"No interpretation"
"700"	"Doxycycline"	"Tetracycline"	"ARS8"	-1	"S"
"701"	"Enrofloxacin"	"Fluoroquinolone"	"ARS8"	5	"No interpretation"
"702"	"Imipenem"	"ß-lactam"	"ARS8"	-1	"S"
"703"	"Tetracycline"	"Tetracycline"	"ARS8"	-1	"S"
"704"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"ARS8"	-1	"S"
"705"	"Amikacin"	"Aminoglycoside"	"ARS8"	-1	"S"
"706"	"Cefazolin"	"ß-lactam"	"ARS8"	-1	"S"
"707"	"Clarithromycin"	"Macrolide"	"ARS8"	1	"R"
"708"	"Erythromycin"	"Macrolide"	"ARS8"	1	"R"
"709"	"Gentamicin"	"Aminoglycoside"	"ARS8"	-1	"S"
"710"	"Oxacillin_2pNaCL"	"ß-lactam"	"ARS8"	1	"R"
"711"	"Penicillin"	"ß-lactam"	"ARS8"	5	"No interpretation"
"712"	"Rifampin"	"Rifampin"	"ARS8"	1	"R"
"713"	"Ticarcillin"	"ß-lactam"	"ARS8"	-1	"S"
"714"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"ARS8"	-1	"S"
"715"	"Ampicillin"	"ß-lactam"	"ARS9"	1	"R"
"716"	"Azithromycin"	"Macrolide"	"ARS9"	1	"R"
"717"	"Ceftazidime"	"ß-lactam"	"ARS9"	1	"R"
"718"	"Ceftiofur"	"ß-lactam"	"ARS9"	1	"R"
"719"	"Chloramphenicol"	"Phenicol"	"ARS9"	1	"R"
"720"	"Clarithromycin"	"Macrolide"	"ARS9"	5	"No interpretation"
"721"	"Doxycycline"	"Tetracycline"	"ARS9"	1	"R"
"722"	"Enrofloxacin"	"Fluoroquinolone"	"ARS9"	5	"No interpretation"
"723"	"Imipenem"	"ß-lactam"	"ARS9"	-1	"S"
